Generation,MinFitness,MeanFitness,StdDev
163,0.303227,0.394265,0.152943
164,0.303227,0.386207,0.137955
165,0.303227,0.386031,0.138065
166,0.303227,0.382967,0.137517
167,0.303227,0.377021,0.125858
168,0.303227,0.395636,0.150533
169,0.303227,0.389027,0.151263
170,0.303227,0.380619,0.143150
171,0.302964,0.390155,0.144895
172,0.302964,0.383675,0.138754
173,0.302964,0.385491,0.138257
174,0.302964,0.387078,0.140260
175,0.302964,0.388016,0.140203
176,0.302964,0.383005,0.139595
177,0.302964,0.380221,0.136738
178,0.302964,0.380145,0.131835
179,0.302707,0.379125,0.120004
180,0.302707,0.379187,0.123096
181,0.302707,0.383096,0.132159
182,0.302707,0.394629,0.143362
183,0.302707,0.396466,0.156200
184,0.302707,0.381945,0.136478
185,0.302707,0.388792,0.135312
186,0.302707,0.380016,0.127759
187,0.302707,0.365310,0.101516
188,0.302707,0.377511,0.122980
189,0.302707,0.390943,0.137564
190,0.302707,0.372853,0.111238
191,0.302707,0.372972,0.110890
192,0.302707,0.374261,0.127766
193,0.302707,0.385214,0.130722
194,0.302707,0.374413,0.111307
195,0.302707,0.376076,0.120280
196,0.302707,0.384170,0.128151
197,0.302707,0.375801,0.117734
198,0.302707,0.372354,0.120348
199,0.302707,0.372475,0.113550
200,0.302707,0.384275,0.122987
201,0.302707,0.380752,0.129178
202,0.302707,0.380948,0.120442
203,0.302707,0.373661,0.113551
204,0.302707,0.372473,0.108270
205,0.302406,0.385924,0.131084
206,0.302406,0.383938,0.125116
207,0.302406,0.377925,0.117974
208,0.302406,0.380152,0.130174
209,0.302406,0.381958,0.128373
210,0.302406,0.380091,0.126474
211,0.302406,0.373025,0.117081
212,0.302406,0.381366,0.132135
213,0.302406,0.374977,0.112982
214,0.302406,0.390820,0.144908
215,0.302406,0.393074,0.138005
216,0.302406,0.393071,0.149332
217,0.302406,0.397697,0.144199
218,0.302406,0.394668,0.149106
219,0.302406,0.400465,0.148812
220,0.302406,0.382809,0.130928
221,0.302345,0.386657,0.135099
222,0.302345,0.387425,0.142567
223,0.302345,0.383241,0.136225
224,0.302345,0.388033,0.142520
225,0.302345,0.399768,0.149147
226,0.302345,0.390912,0.139116
227,0.302345,0.390515,0.137948
228,0.302345,0.393467,0.138009
229,0.302345,0.398685,0.145255
230,0.302345,0.392090,0.150592
231,0.302345,0.384317,0.141030
232,0.302345,0.381874,0.129070
233,0.302345,0.397655,0.154001
234,0.302345,0.400206,0.151136
235,0.302345,0.383220,0.126659
236,0.302315,0.383139,0.129128
237,0.302315,0.381755,0.134680
238,0.302315,0.396942,0.154527
239,0.302315,0.400116,0.156821
240,0.302315,0.399275,0.154086
241,0.302315,0.385455,0.133819
242,0.302315,0.401351,0.155553
243,0.302315,0.395477,0.145650
244,0.302315,0.388314,0.138867
245,0.302315,0.389361,0.131832
246,0.302315,0.402304,0.148883
247,0.302315,0.394775,0.144348
248,0.302315,0.393443,0.150151
249,0.302315,0.398019,0.144091
250,0.302315,0.402020,0.158767
251,0.302315,0.397142,0.145407
252,0.302315,0.391398,0.147770
253,0.302315,0.396575,0.151266
254,0.302315,0.403198,0.153049
255,0.302315,0.390877,0.138320
256,0.302315,0.391364,0.141415
257,0.302315,0.400642,0.157447
258,0.302315,0.399025,0.148515
259,0.302315,0.394865,0.150143
260,0.302315,0.393712,0.146822
261,0.302315,0.393848,0.141920
262,0.302315,0.400759,0.153623
263,0.302315,0.411658,0.161379
264,0.302315,0.394390,0.140819
265,0.302315,0.400980,0.153125
266,0.302315,0.400609,0.153768
267,0.302315,0.392392,0.144425
268,0.302315,0.397405,0.149834
269,0.302315,0.395006,0.146150
270,0.302315,0.396801,0.152905
271,0.302315,0.386477,0.137418
272,0.302315,0.387098,0.141717
273,0.302162,0.395873,0.155704
274,0.302162,0.388587,0.142912
275,0.302162,0.389391,0.147381
276,0.302162,0.377458,0.134232
277,0.302162,0.396441,0.149745
278,0.302162,0.386758,0.134335
279,0.302162,0.389313,0.138385
280,0.302162,0.400555,0.150217
281,0.302162,0.384778,0.132722
282,0.302162,0.382409,0.134366
283,0.302162,0.414952,0.165728
284,0.302162,0.391371,0.143498
285,0.302162,0.402723,0.160823
286,0.302162,0.394346,0.145395
287,0.302162,0.390599,0.144904
288,0.302162,0.384430,0.134829
289,0.302162,0.392707,0.142626
290,0.302162,0.392507,0.149976
291,0.302162,0.384054,0.132873
292,0.302162,0.384955,0.140560
293,0.302162,0.394578,0.155488
294,0.302162,0.398887,0.153131
295,0.302162,0.399889,0.151840
296,0.302162,0.400863,0.159514
297,0.302162,0.384760,0.139891
298,0.302162,0.402235,0.155286
299,0.302162,0.396655,0.150377
