Generation,MinFitness,MeanFitness,StdDev
163,0.282954,0.686428,0.338950
164,0.282954,0.713467,0.338423
165,0.282954,0.716720,0.337241
166,0.282954,0.717631,0.328090
167,0.282954,0.704478,0.336456
168,0.282954,0.698437,0.338321
169,0.282954,0.704867,0.335561
170,0.282954,0.701460,0.335223
171,0.282954,0.733584,0.328589
172,0.282954,0.689414,0.338945
173,0.282954,0.714456,0.339463
174,0.282954,0.728937,0.332444
175,0.282954,0.720672,0.328735
176,0.282954,0.705185,0.327447
177,0.282954,0.710717,0.331658
178,0.282954,0.726138,0.335123
179,0.282954,0.694649,0.328291
180,0.282954,0.709996,0.324876
181,0.282954,0.707319,0.327710
182,0.282954,0.723998,0.321827
183,0.282954,0.703167,0.323624
184,0.282954,0.714385,0.314508
185,0.282954,0.706584,0.338554
186,0.282954,0.694182,0.338444
187,0.282954,0.699744,0.332757
188,0.282954,0.697791,0.333292
189,0.282954,0.713230,0.333001
190,0.282954,0.713481,0.336861
191,0.282954,0.714130,0.332943
192,0.282954,0.678338,0.335549
193,0.282954,0.685056,0.341806
194,0.282954,0.701102,0.322999
195,0.282954,0.667274,0.334103
196,0.282954,0.718480,0.340596
197,0.282954,0.711178,0.335887
198,0.282954,0.709102,0.347052
199,0.282954,0.722710,0.340691
200,0.282954,0.743021,0.331699
201,0.282954,0.713606,0.330051
202,0.282954,0.701749,0.330254
203,0.282954,0.689587,0.329984
204,0.282954,0.683323,0.328578
205,0.282954,0.717755,0.339286
206,0.282954,0.724272,0.332584
207,0.282954,0.717901,0.328152
208,0.282954,0.687588,0.332095
209,0.282954,0.693661,0.316971
210,0.282954,0.705036,0.327797
211,0.282954,0.684960,0.332981
212,0.282954,0.718594,0.332605
213,0.282954,0.725508,0.326083
214,0.282954,0.719639,0.325448
215,0.282954,0.732114,0.322209
216,0.282954,0.688963,0.332128
217,0.282954,0.683698,0.331710
218,0.282954,0.695226,0.335516
219,0.282954,0.692304,0.341273
220,0.282954,0.676958,0.345441
221,0.282954,0.678505,0.326953
222,0.282954,0.690600,0.338030
223,0.282954,0.666045,0.338090
224,0.282954,0.659340,0.333025
225,0.282954,0.689773,0.339246
226,0.282954,0.737797,0.341876
227,0.282954,0.730206,0.330903
228,0.282954,0.717928,0.329137
229,0.282954,0.727326,0.328925
230,0.282954,0.672164,0.339317
231,0.282954,0.696299,0.333737
232,0.282954,0.683724,0.335754
233,0.282954,0.685764,0.342043
234,0.282954,0.716403,0.340323
235,0.282954,0.686751,0.331320
236,0.282954,0.696847,0.339397
237,0.282954,0.667074,0.326033
238,0.282954,0.699511,0.340236
239,0.282954,0.719208,0.336146
240,0.282954,0.705582,0.342341
241,0.282954,0.710219,0.333955
242,0.282954,0.727864,0.340961
243,0.282954,0.712047,0.325926
244,0.282954,0.689929,0.332442
245,0.282954,0.766758,0.331062
246,0.282954,0.734785,0.335959
247,0.282954,0.683033,0.333511
248,0.282954,0.688980,0.338050
249,0.282954,0.705857,0.340230
250,0.282954,0.688486,0.347211
251,0.282954,0.696813,0.341641
252,0.282954,0.700377,0.340824
253,0.282954,0.716902,0.340248
254,0.282954,0.705034,0.340992
255,0.282954,0.704115,0.332061
256,0.282954,0.699791,0.341831
257,0.282954,0.661370,0.333652
258,0.282954,0.684468,0.332446
259,0.282954,0.675395,0.333334
260,0.282954,0.676047,0.341247
261,0.282954,0.711444,0.337677
262,0.282954,0.688933,0.327748
263,0.282954,0.722002,0.328138
264,0.282954,0.724603,0.320915
265,0.282954,0.712347,0.324542
266,0.282954,0.705623,0.332287
267,0.282954,0.722759,0.342327
268,0.282954,0.716974,0.333028
269,0.282954,0.722533,0.331146
270,0.282954,0.714413,0.326318
271,0.282954,0.661496,0.330555
272,0.282954,0.676931,0.334886
273,0.282954,0.698344,0.337629
274,0.282954,0.677913,0.338022
275,0.282954,0.671556,0.336060
276,0.282954,0.654426,0.333031
277,0.282954,0.701668,0.323482
278,0.282954,0.734400,0.320686
279,0.282954,0.723951,0.322288
280,0.282954,0.719253,0.328023
281,0.282954,0.682029,0.323991
282,0.282954,0.671721,0.329367
283,0.282954,0.709490,0.328958
284,0.282954,0.715586,0.325289
285,0.282954,0.715552,0.329517
286,0.282954,0.709250,0.325281
287,0.282954,0.718311,0.324490
288,0.282954,0.706815,0.333011
289,0.282954,0.682760,0.330145
290,0.282954,0.686509,0.337712
291,0.282954,0.751852,0.334320
292,0.282954,0.725213,0.323938
293,0.282954,0.706574,0.328667
294,0.282954,0.687442,0.338170
295,0.282954,0.726126,0.335974
296,0.282954,0.716261,0.339722
297,0.282954,0.700923,0.339438
298,0.282954,0.702464,0.338902
299,0.282954,0.735723,0.339899
